Timestamp,Source IP,Destination IP,Packet Count,Response Time (ms),Throughput (Mbps),Packet Loss (%),Is Anomaly
2024-11-11 20:24:29.812127,3.178.203.201,242.46.108.111,511,75.08,83.36,0.3,0
2024-11-11 20:24:34.812127,164.1.73.49,51.104.126.197,518,33.11,86.79,0.29,0
2024-11-11 20:24:39.812127,154.38.124.10,21.10.74.15,2976,380.18,23.94,7.51,1
2024-11-11 20:24:44.812127,16.207.39.59,11.53.139.129,480,52.28,95.95,0.85,0
2024-11-11 20:24:49.812127,182.103.96.118,36.80.39.89,537,50.96,95.83,0.41,0
2024-11-11 20:24:54.812127,30.180.185.60,226.136.62.182,508,49.94,94.48,0.63,0
2024-11-11 20:24:59.812127,82.70.147.212,57.16.94.152,464,57.74,90.37,0.23,0
2024-11-11 20:25:04.812127,107.4.171.30,146.51.19.87,510,52.67,106.16,0.65,0
2024-11-11 20:25:09.812127,126.225.77.223,166.158.140.108,511,30.83,81.75,0.3,0
2024-11-11 20:25:14.812127,251.192.112.150,233.12.222.248,2922,369.99,26.71,7.76,1
2024-11-11 20:25:19.812127,118.44.32.100,241.35.111.40,501,59.8,107.39,0.5,0
2024-11-11 20:25:24.812127,82.140.96.125,76.133.188.75,3270,397.06,29.27,7.58,1
2024-11-11 20:25:29.812127,221.229.187.156,200.4.0.13,479,36.92,102.14,0.49,0
2024-11-11 20:25:34.812127,126.136.199.11,236.25.164.216,504,52.53,62.13,0.41,0
2024-11-11 20:25:39.812127,40.33.64.189,35.78.216.41,487,44.73,93.51,0.64,0
2024-11-11 20:25:44.812127,180.210.79.200,82.158.191.70,505,85.7,106.1,0.38,0
2024-11-11 20:25:49.812127,187.22.217.133,60.176.246.94,488,54.54,98.11,0.8,0
2024-11-11 20:25:54.812127,188.124.51.61,163.212.160.71,478,34.67,95.64,0.54,0
2024-11-11 20:25:59.812127,18.8.84.220,38.96.79.246,494,53.45,107.97,0.33,0
2024-11-11 20:26:04.812127,54.134.247.164,157.169.223.129,524,40.95,119.32,0.5,0
2024-11-11 20:26:09.812127,187.170.46.217,28.140.215.115,503,42.86,117.24,0.1,0
2024-11-11 20:26:14.812127,98.135.132.5,239.166.7.105,510,51.66,87.75,0.72,0
2024-11-11 20:26:19.812127,71.159.21.194,193.19.129.106,531,55.91,101.73,0.43,0
2024-11-11 20:26:24.812127,37.222.183.151,3.95.150.138,481,51.53,99.2,0.64,0
